disaster_id,task_id,task_uuid
1,2,169ea806-2c1b-4c14-9408-83b101701910
1,3,01dde64c-584b-4329-a29f-a7e546f122f9
1,6,0e66bc62-3af2-41a5-9056-37eb16869548
1,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
1,8,85caf5bf-6387-4b05-83b6-deaf43985d70
1,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
1,10,5f5222c5-b626-40e1-a433-cf8e9640608b
1,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
1,12,e4ff431e-73d9-42a7-a627-b14c39fca011
1,15,ef089e3c-071f-4498-8075-73405abe96af
1,19,23671fe7-6938-4029-bec2-893f55288697
1,20,144be296-f90c-4ed1-a65a-c101f16ab47e
1,22,d8f87634-37ed-40d1-bf9f-492c260214e0
1,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
1,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
1,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
1,28,3412473d-ec40-41da-b6b1-47f8c9ad8010
1,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
2,2,169ea806-2c1b-4c14-9408-83b101701910
2,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
2,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
2,10,5f5222c5-b626-40e1-a433-cf8e9640608b
2,12,e4ff431e-73d9-42a7-a627-b14c39fca011
2,16,db28405a-a4e5-4378-80dc-3270af4365cf
2,17,6331faef-d6c8-437b-950c-139cd6ce7874
2,18,1e54d839-db32-4337-99ab-a970bab9a79a
3,2,169ea806-2c1b-4c14-9408-83b101701910
3,3,01dde64c-584b-4329-a29f-a7e546f122f9
3,6,0e66bc62-3af2-41a5-9056-37eb16869548
3,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
3,8,85caf5bf-6387-4b05-83b6-deaf43985d70
3,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
3,10,5f5222c5-b626-40e1-a433-cf8e9640608b
3,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
3,12,e4ff431e-73d9-42a7-a627-b14c39fca011
3,15,ef089e3c-071f-4498-8075-73405abe96af
3,20,144be296-f90c-4ed1-a65a-c101f16ab47e
3,22,d8f87634-37ed-40d1-bf9f-492c260214e0
3,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
3,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
3,26,182aee37-183a-49fa-9c74-26a73535216d
3,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
4,2,169ea806-2c1b-4c14-9408-83b101701910
4,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
4,8,85caf5bf-6387-4b05-83b6-deaf43985d70
4,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
4,10,5f5222c5-b626-40e1-a433-cf8e9640608b
4,12,e4ff431e-73d9-42a7-a627-b14c39fca011
4,15,ef089e3c-071f-4498-8075-73405abe96af
4,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
4,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
4,26,182aee37-183a-49fa-9c74-26a73535216d
4,27,5dadffab-c098-4ce2-b970-9bdc6f4275a9
4,28,3412473d-ec40-41da-b6b1-47f8c9ad8010
4,30,eaef7992-9324-4da6-aba0-18076ff9c554
5,1,8a2fba9f-778d-4bd7-831c-c5419373d9c9
5,2,169ea806-2c1b-4c14-9408-83b101701910
5,3,01dde64c-584b-4329-a29f-a7e546f122f9
5,6,0e66bc62-3af2-41a5-9056-37eb16869548
5,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
5,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
5,10,5f5222c5-b626-40e1-a433-cf8e9640608b
5,20,144be296-f90c-4ed1-a65a-c101f16ab47e
5,22,d8f87634-37ed-40d1-bf9f-492c260214e0
5,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
5,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
5,30,eaef7992-9324-4da6-aba0-18076ff9c554
6,1,8a2fba9f-778d-4bd7-831c-c5419373d9c9
6,2,169ea806-2c1b-4c14-9408-83b101701910
6,3,01dde64c-584b-4329-a29f-a7e546f122f9
6,6,0e66bc62-3af2-41a5-9056-37eb16869548
6,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
6,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
6,10,5f5222c5-b626-40e1-a433-cf8e9640608b
6,15,ef089e3c-071f-4498-8075-73405abe96af
6,20,144be296-f90c-4ed1-a65a-c101f16ab47e
6,21,6e585358-15b1-4742-927f-4050f6b863d2
6,22,d8f87634-37ed-40d1-bf9f-492c260214e0
6,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
6,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
6,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
6,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
6,30,eaef7992-9324-4da6-aba0-18076ff9c554
7,2,169ea806-2c1b-4c14-9408-83b101701910
7,3,01dde64c-584b-4329-a29f-a7e546f122f9
7,4,d25712a7-b7b4-44e3-b2d1-69e957a1f40f
7,5,d3b661ed-7f23-4584-9571-51e4f8b4e494
7,6,0e66bc62-3af2-41a5-9056-37eb16869548
7,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
7,8,85caf5bf-6387-4b05-83b6-deaf43985d70
7,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
7,10,5f5222c5-b626-40e1-a433-cf8e9640608b
7,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
7,12,e4ff431e-73d9-42a7-a627-b14c39fca011
7,15,ef089e3c-071f-4498-8075-73405abe96af
7,19,23671fe7-6938-4029-bec2-893f55288697
7,20,144be296-f90c-4ed1-a65a-c101f16ab47e
7,22,d8f87634-37ed-40d1-bf9f-492c260214e0
7,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
7,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
7,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
7,26,182aee37-183a-49fa-9c74-26a73535216d
8,2,169ea806-2c1b-4c14-9408-83b101701910
8,3,01dde64c-584b-4329-a29f-a7e546f122f9
8,6,0e66bc62-3af2-41a5-9056-37eb16869548
8,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
8,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
8,10,5f5222c5-b626-40e1-a433-cf8e9640608b
8,12,e4ff431e-73d9-42a7-a627-b14c39fca011
8,20,144be296-f90c-4ed1-a65a-c101f16ab47e
8,22,d8f87634-37ed-40d1-bf9f-492c260214e0
8,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
8,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
8,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
9,2,169ea806-2c1b-4c14-9408-83b101701910
9,3,01dde64c-584b-4329-a29f-a7e546f122f9
9,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
9,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
9,10,5f5222c5-b626-40e1-a433-cf8e9640608b
9,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
9,12,e4ff431e-73d9-42a7-a627-b14c39fca011
9,15,ef089e3c-071f-4498-8075-73405abe96af
9,20,144be296-f90c-4ed1-a65a-c101f16ab47e
9,22,d8f87634-37ed-40d1-bf9f-492c260214e0
9,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
9,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
9,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
9,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
10,2,169ea806-2c1b-4c14-9408-83b101701910
10,3,01dde64c-584b-4329-a29f-a7e546f122f9
11,1,8a2fba9f-778d-4bd7-831c-c5419373d9c9
11,2,169ea806-2c1b-4c14-9408-83b101701910
11,3,01dde64c-584b-4329-a29f-a7e546f122f9
11,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
11,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
11,10,5f5222c5-b626-40e1-a433-cf8e9640608b
11,19,23671fe7-6938-4029-bec2-893f55288697
11,22,d8f87634-37ed-40d1-bf9f-492c260214e0
12,2,169ea806-2c1b-4c14-9408-83b101701910
12,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
12,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
12,10,5f5222c5-b626-40e1-a433-cf8e9640608b
12,13,0dcad544-9ef4-4ebf-8a95-31cbe5847a30
12,14,b64863ca-ba7b-4562-9057-b44f3884a51d
12,22,d8f87634-37ed-40d1-bf9f-492c260214e0
13,2,169ea806-2c1b-4c14-9408-83b101701910
13,3,01dde64c-584b-4329-a29f-a7e546f122f9
13,6,0e66bc62-3af2-41a5-9056-37eb16869548
13,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
13,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
13,10,5f5222c5-b626-40e1-a433-cf8e9640608b
13,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
13,12,e4ff431e-73d9-42a7-a627-b14c39fca011
13,19,23671fe7-6938-4029-bec2-893f55288697
13,20,144be296-f90c-4ed1-a65a-c101f16ab47e
13,22,d8f87634-37ed-40d1-bf9f-492c260214e0
13,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
13,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
13,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
13,26,182aee37-183a-49fa-9c74-26a73535216d
13,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
14,2,169ea806-2c1b-4c14-9408-83b101701910
14,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
14,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
14,10,5f5222c5-b626-40e1-a433-cf8e9640608b
14,12,e4ff431e-73d9-42a7-a627-b14c39fca011
14,15,ef089e3c-071f-4498-8075-73405abe96af
14,20,144be296-f90c-4ed1-a65a-c101f16ab47e
14,21,6e585358-15b1-4742-927f-4050f6b863d2
14,22,d8f87634-37ed-40d1-bf9f-492c260214e0
14,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
14,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
14,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
14,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
15,2,169ea806-2c1b-4c14-9408-83b101701910
15,3,01dde64c-584b-4329-a29f-a7e546f122f9
15,6,0e66bc62-3af2-41a5-9056-37eb16869548
15,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
15,12,e4ff431e-73d9-42a7-a627-b14c39fca011
15,13,0dcad544-9ef4-4ebf-8a95-31cbe5847a30
15,22,d8f87634-37ed-40d1-bf9f-492c260214e0
15,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
16,2,169ea806-2c1b-4c14-9408-83b101701910
16,3,01dde64c-584b-4329-a29f-a7e546f122f9
16,6,0e66bc62-3af2-41a5-9056-37eb16869548
16,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
16,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
16,10,5f5222c5-b626-40e1-a433-cf8e9640608b
16,12,e4ff431e-73d9-42a7-a627-b14c39fca011
16,15,ef089e3c-071f-4498-8075-73405abe96af
16,20,144be296-f90c-4ed1-a65a-c101f16ab47e
16,21,6e585358-15b1-4742-927f-4050f6b863d2
16,22,d8f87634-37ed-40d1-bf9f-492c260214e0
16,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
16,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
16,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
16,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
17,2,169ea806-2c1b-4c14-9408-83b101701910
17,3,01dde64c-584b-4329-a29f-a7e546f122f9
17,6,0e66bc62-3af2-41a5-9056-37eb16869548
17,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
17,8,85caf5bf-6387-4b05-83b6-deaf43985d70
17,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
17,10,5f5222c5-b626-40e1-a433-cf8e9640608b
17,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
17,12,e4ff431e-73d9-42a7-a627-b14c39fca011
17,15,ef089e3c-071f-4498-8075-73405abe96af
17,19,23671fe7-6938-4029-bec2-893f55288697
17,20,144be296-f90c-4ed1-a65a-c101f16ab47e
17,22,d8f87634-37ed-40d1-bf9f-492c260214e0
17,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
17,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
17,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
17,26,182aee37-183a-49fa-9c74-26a73535216d
17,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
17,30,eaef7992-9324-4da6-aba0-18076ff9c554
18,2,169ea806-2c1b-4c14-9408-83b101701910
18,6,0e66bc62-3af2-41a5-9056-37eb16869548
18,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
18,8,85caf5bf-6387-4b05-83b6-deaf43985d70
18,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
18,10,5f5222c5-b626-40e1-a433-cf8e9640608b
18,12,e4ff431e-73d9-42a7-a627-b14c39fca011
18,15,ef089e3c-071f-4498-8075-73405abe96af
18,19,23671fe7-6938-4029-bec2-893f55288697
18,20,144be296-f90c-4ed1-a65a-c101f16ab47e
18,22,d8f87634-37ed-40d1-bf9f-492c260214e0
18,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
18,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
18,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
18,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
19,2,169ea806-2c1b-4c14-9408-83b101701910
19,3,01dde64c-584b-4329-a29f-a7e546f122f9
19,6,0e66bc62-3af2-41a5-9056-37eb16869548
19,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
19,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
19,10,5f5222c5-b626-40e1-a433-cf8e9640608b
19,12,e4ff431e-73d9-42a7-a627-b14c39fca011
19,15,ef089e3c-071f-4498-8075-73405abe96af
19,16,db28405a-a4e5-4378-80dc-3270af4365cf
19,17,6331faef-d6c8-437b-950c-139cd6ce7874
19,18,1e54d839-db32-4337-99ab-a970bab9a79a
19,19,23671fe7-6938-4029-bec2-893f55288697
19,20,144be296-f90c-4ed1-a65a-c101f16ab47e
19,22,d8f87634-37ed-40d1-bf9f-492c260214e0
19,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
19,24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d
19,25,e940b276-f0f2-4ad5-a97f-8857ddb839a6
19,29,7241e314-ecc1-4c9a-9f14-30f369231d8a
19,30,eaef7992-9324-4da6-aba0-18076ff9c554
20,2,169ea806-2c1b-4c14-9408-83b101701910
20,3,01dde64c-584b-4329-a29f-a7e546f122f9
20,6,0e66bc62-3af2-41a5-9056-37eb16869548
20,7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7
20,9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1
20,10,5f5222c5-b626-40e1-a433-cf8e9640608b
20,11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2
20,12,e4ff431e-73d9-42a7-a627-b14c39fca011
20,22,d8f87634-37ed-40d1-bf9f-492c260214e0
20,23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b
